凝神辟秽丹,白术,紫厚朴,陈皮,苍术,甘草,白蒺藜,丹参,,,,,,,,,,,,,,,,,,,,,
三品一条枪,明矾,白砒,雄黄,乳香,,,,,,,,,,,,,,,,,,,,,,,,
清暑化湿汤,青蒿穗,京半夏,淡豆豉,佩兰,茵陈,鲜生地,陈皮,川连蔻仁,苍术,广木香,鲜藿香,甘露消毒丹,鲜荷叶,,,,,,,,,,,,,,,
宣白承气汤,生石膏,生大黄,杏仁粉,栝楼皮,,,,,,,,,,,,,,,,,,,,,,,,
一加减正气散,藿香梗,厚朴,杏仁,茯苓皮,广皮,神曲,麦芽,绵茵陈,大腹皮,,,,,,,,,,,,,,,,,,,
清暑固阴汤,白扁豆,茯苓,滑石,香薷,川厚朴,葛根,木瓜,姜炭,,,,,,,,,,,,,,,,,,,,
百御丸,真茅术,甘草,半夏,云茯苓,白扁豆,厚朴,麦芽,香附,山楂炭,广藿香,神曲,陈皮,枳壳,黄芩,防风,桔梗,苏叶,薄荷,,,,,,,,,,
舟车丸,大黄,甘遂,大戟,芫花,青皮,槟榔,陈皮,木香,牵牛头末,轻粉,,,,,,,,,,,,,,,,,,
龙脑丸,当归,龙胆草,大栀子,黄连,黄柏,黄芩,大黄,芦荟,青黛,木香,麝香,,,,,,,,,,,,,,,,,
龙眼肉粥,龙眼肉,红枣,粳米,,,,,,,,,,,,,,,,,,,,,,,,,
天门冬粥,天门冬,粳米,冰糖,,,,,,,,,,,,,,,,,,,,,,,,,
龙胆泻肝汤,龙胆草,黄芩,栀子,泽泻,木通,车前子,当归,生地黄,柴胡,甘草,,,,,,,,,,,,,,,,,,
灵乌二仁膏,灵芝,首乌,核桃仁,苡仁,,,,,,,,,,,,,,,,,,,,,,,,
泄泻丸,苍术,白术,赤苓,白苓,煨草果,神曲,甘草,川朴,广皮,木瓜,桔梗,苏叶,半夏,防风,香薷,朱砂,炒乌药,茶叶,大腹皮,羌活,藿香,煨木香,紫豆蔻,白芷,薄荷,炒砂仁,檀香,香附
无比丸,青橘皮,巴豆,,,,,,,,,,,,,,,,,,,,,,,,,,
二生丹,大怀熟地,锦纹大黄,,,,,,,,,,,,,,,,,,,,,,,,,,
独圣丸,川乌头,,,,,,,,,,,,,,,,,,,,,,,,,,,
十味石榴丸,石榴,肉桂,白及,荜茇,红花,豆蔻,玉竹,黄精,菱角,天花粉,,,,,,,,,,,,,,,,,,
牛牙散,已死黄牛门牙,,,,,,,,,,,,,,,,,,,,,,,,,,,
